symbol,created_at,average_price,side,quantity
COKE,2015-11-09T15:02:55.522313Z,186.05010000,sell,20.00000
GE,2015-11-09T15:02:19.954472Z,29.77000000,buy,48.00000
CAT,2015-11-09T15:01:47.952173Z,73.03990000,buy,40.00000
GE,2015-11-03T16:55:26.699150Z,29.70010000,sell,20.00000
TWTR,2015-11-03T16:54:52.782290Z,29.44010000,sell,50.00000
TWTR,2015-11-02T16:11:45.640702Z,28.75990000,buy,50.00000
FB,2015-11-02T16:08:12.094866Z,102.72990000,buy,10.00000
GE,2015-10-28T16:17:42.507045Z,29.37990000,buy,20.00000
PFE,2015-10-28T16:16:41.896389Z,35.49990000,buy,15.00000
PEP,2015-10-28T16:14:35.611656Z,103.08990000,buy,10.00000
FB,2015-10-28T16:14:07.893655Z,104.04990000,buy,10.00000
FB,2015-10-28T16:11:55.366413Z,103.99990000,buy,10.00000
MCD,2015-10-22T21:03:14.633570Z,111.16000000,sell,8.00000
FB,2015-10-07T14:59:40.091088Z,92.30990000,buy,3.00000
FB,2015-10-07T14:58:40.572254Z,92.22990000,buy,3.00000
MCD,2015-10-07T14:58:14.215162Z,101.10000000,buy,3.00000
FB,2015-09-28T21:18:29.589923Z,89.14000000,buy,1.00000
FB,2015-08-28T15:07:03.132148Z,91.07990000,buy,5.00000
MCD,2015-08-28T14:24:56.046362Z,96.10990000,buy,5.00000
FB,2015-07-20T16:20:19.250199Z,97.10990000,buy,2.00000
AAPL,2015-07-20T16:19:39.464015Z,132.14000000,buy,10.00000
CAT,2015-07-20T14:50:17.359970Z,82.76010000,sell,21.00000
AAPL,2015-07-20T14:14:11.132851Z,131.51000000,buy,5.00000
MCD,2015-07-14T16:13:05.516881Z,98.83010000,sell,17.00000
AAPL,2015-06-26T14:41:12.786706Z,127.41000000,buy,3.00000
AAPL,2015-06-26T14:40:12.772516Z,127.40000000,buy,10.00000
FB,2015-06-26T14:39:36.044486Z,87.17000000,buy,15.00000
PEP,2015-06-24T15:33:35.881100Z,95.51010000,sell,5.00000
PEP,2015-06-22T14:17:11.571064Z,95.47000000,buy,5.00000
CAT,2015-06-22T14:16:29.481314Z,88.11000000,buy,5.00000
FB,2015-06-22T06:23:29.711972Z,83.50000000,buy,20.00000
AAPL,2015-06-22T06:23:06.153505Z,127.49990000,buy,15.00000
MCD,2015-05-21T14:07:22.770346Z,99.49990000,buy,7.00000
COKE,2015-05-21T14:06:50.205574Z,115.89990000,buy,10.00000
FB,2015-05-21T14:06:21.088101Z,80.39990000,buy,15.00000
WMT,2015-05-14T14:49:43.181015Z,78.32010000,sell,1.00000
CAT,2015-05-13T14:20:25.867226Z,88.65990000,buy,1.00000
WMT,2015-05-13T14:18:58.011096Z,79.04990000,buy,1.00000
COKE,2015-05-13T14:17:08.502571Z,112.67990000,buy,10.00000
MCD,2015-05-13T14:14:48.415589Z,97.90990000,buy,10.00000
AAPL,2015-05-11T23:54:36.342478Z,125.60000000,buy,10.00000
CAT,2015-05-11T14:02:09.603005Z,88.99990000,buy,10.00000
AAPL,2015-05-11T14:01:47.631920Z,126.28990000,buy,5.00000
CAT,2015-04-29T22:43:52.800424Z,86.86000000,buy,3.00000
CAT,2015-04-29T05:20:03.350033Z,85.57000000,buy,2.00000
